기존 재료,대체 재료,정량 치환 비율,기대 효과,근거
흰쌀밥 100g,현미밥 100g,1:1,"GI ↓, 식이섬유 ↑","시드니 GI DB, 대한당뇨병학회"
흰쌀밥 100g,귀리밥 100g,1:1,"GI ↓, 포만감 ↑",시드니 GI DB
흰쌀밥 100g,보리밥 100g,1:1,"GI ↓, 식이섬유 ↑",시드니 GI DB
흰쌀밥 100g,퀴노아밥 100g,1:1,"단백질·섬유소 ↑, GI ↓",USDA DB
흰쌀밥 100g,콩밥 100g,1:1,"탄수 ↓, 단백질 ↑",USDA DB
김밥용 흰밥 150g,현미밥 150g,1:1,"GI ↓, 포만감 ↑",GI DB
죽(흰쌀) 250g,현미죽 250g,1:1,GI ↓,임상영양 가이드
찹쌀 100g,현미 100g,1:1,GI ↓,GI DB
일반 떡(흰쌀) 60g,현미떡 60g,1:1,GI ↓,식품 성분표
볶음밥(흰쌀) 200g,콩·채소 볶음밥(현미) 200g,1:1,"GI ↓, 섬유소 ↑",레시피 비교
흰식빵 1장,통밀빵 1장,1:1,"GI ↓, 식이섬유 ↑",Jenkins (2002)
흰식빵 1장,호밀빵 1장,1:1,"GI ↓, 포만감 ↑",GI DB
식빵 2장,저탄소화물 토르티야 1장,2:1,탄수 ↓,제품 성분표
버거 번(흰밀) 1개,통밀 번 1개,1:1,GI ↓,제품 성분표
버거 번 1개,양상추 랩 2장,1:2장,"탄수 ↓, 칼로리 ↓",저당 조리 트렌드
또띠야(밀) 1장,통밀 또띠야 1장,1:1,GI ↓,제품 성분표
또띠야(밀) 1장,저탄수 또띠야 1장,1:1,탄수 ↓,제품 성분표
라면(밀면) 100g,메밀면 100g,1:1,GI ↓,한국영양학회
라면(밀면) 100g,두부면 100g,1:1,"탄수 ↓, 단백질 ↑",식품 성분표
라면(밀면) 100g,곤약면 100g,1:1,"탄수 ↓, 칼로리 ↓",식품 성분표
우동면 100g,곤약면 100g,1:1,"탄수 ↓, 칼로리 ↓",영양DB
소면 100g,메밀면 100g,1:1,GI ↓,GI DB
파스타(듀럼) 100g,병아리콩 파스타 80–100g,0.8~1:1,"탄수 ↓, 단백질 ↑",제품 성분표
짜장면 면 150g,두부면 150g,1:1,탄수 ↓,제품 성분표
흰밀가루 100g,통밀가루 100g,1:1,"GI ↓, 영양소 ↑",USDA DB
흰밀가루 100g,아몬드가루 75g,1:0.75,"탄수 ↓, 단백질/지방 ↑",베이킹 연구
흰밀가루 100g,코코넛가루 70g,1:0.7,"탄수 ↓, 섬유소 ↑",베이킹 연구
흰밀가루 100g,병아리콩가루 90g,1:0.9,"탄수 ↓, 단백질 ↑",USDA DB
흰밀가루 100g,귀리가루 100g,1:1,섬유소 ↑,USDA DB
전분가루 20g,귀리분말 25g,1:1.25,"GI ↓, 섬유소 ↑",영양DB
전분가루 10g,치아씨드 8g + 물 24g,1:0.8(+물),결착/점성 대체,베이킹 치환 가이드
빵가루 30g,오트밀 분쇄 30g,1:1,섬유소 ↑,조리 팁
설탕 10g,알룰로스 10g,1:1,"열량 ↓, 혈당 무영향",식약처 감미료 기준
설탕 10g,에리스리톨 10g,1:1,"열량 ↓, 혈당 무영향",식약처 감미료 기준
설탕 10g,스테비아 0.02g(정제),1:0.002,감미도 보정,감미도 200~300배
설탕 10g,바나나퓨레 12–15g,1:1.2~1.5,"단맛 보완, 섬유소 ↑",Diabetes Care
설탕 10g,사과퓨레 12–15g,1:1.2~1.5,"단맛 보완, 수분 ↑",영양DB
물엿 10g,무가당 시럽 10g,1:1,당류 ↓,제품 성분표
꿀 10g,무가당 시럽 10g,1:1,당류 ↓,제품 성분표
